Store,Date,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2022-01-01,6,15247,1278,1,1,1,0
1,2022-01-02,7,0,0,0,0,0,0
1,2022-01-03,1,8977,916,1,0,0,0
1,2022-01-04,2,10808,1133,1,1,0,0
1,2022-01-05,3,11327,1269,1,1,0,0
1,2022-01-06,4,9669,853,1,0,0,0
1,2022-01-07,5,15225,1592,1,1,0,0
1,2022-01-08,6,13068,1480,1,1,0,0
1,2022-01-09,7,0,0,0,1,0,0
1,2022-01-10,1,9171,936,1,0,0,0
1,2022-01-11,2,9232,992,1,0,0,0
1,2022-01-12,3,9367,929,1,0,0,0
1,2022-01-13,4,9500,935,1,0,0,0
1,2022-01-14,5,12077,1018,1,0,0,0
1,2022-01-15,6,10624,1227,1,0,0,0
1,2022-01-16,7,0,0,0,0,0,0
1,2022-01-17,1,7625,831,1,0,0,0
1,2022-01-18,2,11692,1048,1,1,0,0
1,2022-01-19,3,8620,736,1,0,0,0
1,2022-01-20,4,8649,912,1,0,0,0
1,2022-01-21,5,11570,1085,1,0,0,0
1,2022-01-22,6,12132,1273,1,0,0,0
1,2022-01-23,7,8121,746,1,0,0,0
1,2022-01-24,1,8051,825,1,0,0,0
1,2022-01-25,2,9681,836,1,0,0,0
1,2022-01-26,3,10809,1263,1,0,0,0
1,2022-01-27,4,9914,976,1,0,0,0
1,2022-01-28,5,14399,1336,1,1,0,0
1,2022-01-29,6,12476,1188,1,0,0,0
1,2022-01-30,7,0,0,0,1,0,0
1,2022-01-31,1,8319,721,1,0,0,0
1,2022-02-01,2,8509,1002,1,0,0,0
1,2022-02-02,3,9404,888,1,0,0,0
1,2022-02-03,4,11974,1272,1,1,0,0
1,2022-02-04,5,14612,1470,1,1,0,0
1,2022-02-05,6,10872,1198,1,0,0,0
1,2022-02-06,7,0,0,0,1,0,0
1,2022-02-07,1,7272,880,1,0,0,0
1,2022-02-08,2,10706,1191,1,0,0,0
1,2022-02-09,3,9151,763,1,0,0,0
1,2022-02-10,4,10119,850,1,0,0,0
1,2022-02-11,5,12147,1153,1,0,0,0
1,2022-02-12,6,12012,1187,1,0,0,0
1,2022-02-13,7,0,0,0,0,0,0
1,2022-02-14,1,8700,970,1,0,0,0
1,2022-02-15,2,9310,942,1,0,0,0
